#{"t_start": 1691064604.8087392, "env_id": null}
r,l,t
0.0,6,0.946163
0.0,6,0.947551
-0.9375,4,0.948429
0.0,6,0.949787
-0.96875,5,0.950926
0.0,6,0.952484
-0.96875,5,0.953658
0.0,6,0.955607
0.0,6,0.956964
-0.9375,4,0.957845
0.0,6,0.959185
-0.96875,5,0.96035
0.0,6,0.961731
0.0,6,0.963125
0.0,6,0.964491
0.0,6,0.965872
0.0,6,0.967222
-0.9375,4,0.968154
-0.96875,5,0.969248
-0.96875,5,0.970423
-0.96875,5,0.971515
-0.9375,4,0.972403
-0.96875,5,0.973594
-0.96875,5,0.974769
0.0,6,0.97606
0.0,6,0.977429
0.0,6,0.978714
-0.9375,4,0.979685
0.0,6,0.981034
-0.9375,4,0.981921
0.0,6,0.983317
-0.96875,5,0.984543
-0.96875,5,0.985635
0.0,6,0.986918
0.0,6,0.988345
-0.96875,5,0.98951
-0.9375,4,0.990392
0.0,6,0.991726
0.0,6,0.993009
-0.96875,5,0.994167
-0.96875,5,0.995303
0.0,6,0.996584
-0.9375,4,0.99783
-0.96875,5,0.999003
0.0,6,1.000337
-0.96875,5,1.001415
-0.96875,5,1.002489
-0.96875,5,1.003698
0.0,6,1.004972
0.0,6,1.006318
-0.96875,5,1.0074
0.0,6,1.008841
0.0,6,1.010166
-0.96875,5,1.011234
0.0,6,1.012554
-0.96875,5,1.013709
-0.96875,5,1.014781
-0.96875,5,1.015851
0.0,6,1.017176
0.0,6,1.018518
0.0,6,1.019993
-0.9375,4,1.020948
-0.96875,5,1.041734
0.0,6,1.044141
-0.96875,5,1.045785
0.0,6,1.047466
0.0,6,1.049226
-0.96875,5,1.050601
-0.96875,5,1.05182
0.0,6,1.053442
0.0,6,1.055133
0.0,6,1.057327
0.0,6,1.058859
0.0,6,1.060412
-0.96875,5,1.061669
0.0,6,1.063277
0.0,6,1.06472
0.0,6,1.066428
-0.96875,5,1.067698
0.0,6,1.069243
0.0,6,1.07088
-0.96875,5,1.072399
-0.96875,5,1.073903
-0.96875,5,1.075353
0.0,6,1.076777
-0.9375,4,1.077754
-0.96875,5,1.078972
-0.96875,5,1.080309
0.0,6,1.081772
0.0,6,1.083336
0.0,6,1.084741
0.0,6,1.086288
