#{"t_start": 1691064667.092127, "env_id": null}
r,l,t
-0.96875,5,1.193401
-0.96875,5,1.194775
0.0,6,1.196233
0.0,6,1.197703
-0.96875,5,1.198907
0.0,6,1.200397
0.0,6,1.201819
-0.9375,4,1.202746
0.0,6,1.204085
-0.96875,5,1.20535
-0.96875,5,1.206486
-0.96875,5,1.207616
-0.96875,5,1.208753
-0.96875,5,1.210021
0.0,6,1.211392
-0.96875,5,1.212522
0.0,6,1.213918
0.0,6,1.215328
0.0,6,1.216719
-0.9375,4,1.217632
0.0,6,1.218977
-0.96875,5,1.220243
-0.96875,5,1.221383
0.0,6,1.222733
0.0,6,1.224131
-0.96875,5,1.225385
0.0,6,1.226837
0.0,6,1.2283
-0.96875,5,1.22949
-0.9375,4,1.230624
-0.96875,5,1.231792
-0.96875,5,1.232897
-0.96875,5,1.234002
-0.9375,4,1.23515
-0.9375,4,1.236149
0.0,6,1.237866
0.0,6,1.239403
0.0,6,1.240874
0.0,6,1.242173
-0.96875,5,1.243331
0.0,6,1.244894
-0.96875,5,1.246107
-0.9375,4,1.247044
-0.96875,5,1.248437
0.0,6,1.249839
0.0,6,1.251237
0.0,6,1.252718
-0.96875,5,1.253923
0.0,6,1.255741
-0.96875,5,1.257068
0.0,6,1.258405
0.0,6,1.259779
-0.96875,5,1.261102
-0.96875,5,1.262489
-0.96875,5,1.263766
-0.96875,5,1.26508
0.0,6,1.266439
-0.9375,4,1.267439
-0.96875,5,1.268607
0.0,6,1.270215
-0.9375,4,1.271378
-0.96875,5,1.273001
-0.96875,5,1.27421
0.0,6,1.275515
0.0,6,1.276857
0.0,6,1.278246
0.0,6,1.27971
-0.96875,5,1.280839
-0.96875,5,1.281999
-0.96875,5,1.283366
0.0,6,1.28475
0.0,6,1.286378
0.0,6,1.287999
0.0,6,1.289889
-0.96875,5,1.291136
0.0,6,1.292531
-0.96875,5,1.293708
0.0,6,1.295278
0.0,6,1.29678
0.0,6,1.298256
-0.96875,5,1.299446
0.0,6,1.300974
0.0,6,1.302346
-0.9375,4,1.303708
0.0,6,1.305305
0.0,6,1.307398
0.0,6,1.308873
-0.96875,5,1.310044
0.0,6,1.311409
0.0,6,1.313094
-0.96875,5,1.314367
0.0,6,1.315964
-0.96875,5,1.317194
-0.9375,4,1.318287
-0.96875,5,1.319511
0.0,6,1.320969
0.0,6,1.322362
0.0,6,1.323947
-0.96875,5,1.325106
-0.96875,5,1.326254
0.0,6,1.327718
-0.96875,5,1.329187
0.0,6,1.330748
-0.96875,5,1.332073
0.0,6,1.333395
0.0,6,1.334843
0.0,6,1.336187
0.0,6,1.337534
-0.96875,5,1.338634
-0.9375,4,1.339607
-0.96875,5,1.341245
-0.96875,5,1.342368
-0.96875,5,1.343528
0.0,6,1.344916
0.0,6,1.346279
-0.96875,5,1.347394
0.0,6,1.348702
0.0,6,1.35014
0.0,6,1.351442
0.0,6,1.352923
0.0,6,1.354379
-0.96875,5,1.356062
0.0,6,1.357426
-0.96875,5,1.358544
0.0,6,1.360006
0.0,6,1.361456
0.0,6,1.362931
0.0,6,1.364267
0.0,6,1.365702
-0.96875,5,1.367084
0.0,6,1.368464
-0.96875,5,1.369579
0.0,6,1.371043
-0.96875,5,1.372609
0.0,6,1.374367
-0.96875,5,1.375516
0.0,6,1.376882
0.0,6,1.378282
0.0,6,1.379839
0.0,6,1.381174
-0.96875,5,1.382361
-0.9375,4,1.383499
0.0,6,1.384839
0.0,6,1.386181
-0.96875,5,1.387428
0.0,6,1.389035
0.0,6,1.390852
0.0,6,1.392183
-0.96875,5,1.39336
-0.9375,4,1.394411
0.0,6,1.395862
0.0,6,1.397402
0.0,6,1.398875
-0.96875,5,1.400152
0.0,6,1.401538
-0.9375,4,1.402475
-0.9375,4,1.403691
0.0,6,1.405201
0.0,6,1.406915
-0.96875,5,1.40823
0.0,6,1.409599
0.0,6,1.411105
0.0,6,1.412612
0.0,6,1.414027
0.0,6,1.415503
0.0,6,1.416942
0.0,6,1.418293
0.0,6,1.419716
-0.96875,5,1.420958
-0.96875,5,1.423129
0.0,6,1.424511
-0.96875,5,1.425671
0.0,6,1.427135
-0.96875,5,1.428424
0.0,6,1.429936
0.0,6,1.431361
0.0,6,1.432849
-0.96875,5,1.434107
0.0,6,1.435452
-0.96875,5,1.436653
-0.96875,5,1.437797
0.0,6,1.439237
-0.9375,4,1.440145
0.0,6,1.441488
-0.9375,4,1.442371
0.0,6,1.443735
-0.96875,5,1.444875
-0.9375,4,1.445758
-0.96875,5,1.446846
0.0,6,1.448213
-0.96875,5,1.449358
-0.96875,5,1.450454
0.0,6,1.451744
0.0,6,1.45325
-0.9375,4,1.454136
-0.96875,5,1.455224
-0.9375,4,1.456111
-0.96875,5,1.457276
0.0,6,1.458622
-0.96875,5,1.459717
0.0,6,1.461063
0.0,6,1.462463
0.0,6,1.463849
-0.96875,5,1.465012
-0.96875,5,1.466094
0.0,6,1.467505
0.0,6,1.469012
-0.96875,5,1.470098
0.0,6,1.471456
0.0,6,1.472821
0.0,6,1.474163
-0.96875,5,1.47525
0.0,6,1.476634
0.0,6,1.477999
-0.96875,5,1.479087
-0.9375,4,1.47997
0.0,6,1.481314
0.0,6,1.482669
-0.96875,5,1.483808
-0.96875,5,1.484899
0.0,6,1.486181
0.0,6,1.487811
0.0,6,1.4894
-0.9375,4,1.490773
-0.9375,4,1.491724
0.0,6,1.493187
-0.96875,5,1.494292
0.0,6,1.496046
0.0,6,1.497456
0.0,6,1.498976
-0.96875,5,1.5003
-0.9375,4,1.501217
0.0,6,1.502535
0.0,6,1.504128
0.0,6,1.505587
-0.96875,5,1.507107
-0.9375,4,1.508044
-0.96875,5,1.509239
-0.96875,5,1.510331
-0.9375,4,1.511213
0.0,6,1.512721
-0.9375,4,1.513749
0.0,6,1.515124
0.0,6,1.516709
0.0,6,1.518055
-0.96875,5,1.519268
-0.9375,4,1.520413
-0.96875,5,1.521708
0.0,6,1.524063
0.0,6,1.525614
0.0,6,1.526977
0.0,6,1.528392
0.0,6,1.529747
0.0,6,1.531243
0.0,6,1.532614
-0.96875,5,1.533916
-0.96875,5,1.535199
0.0,6,1.536841
0.0,6,1.538543
-0.96875,5,1.540087
-0.96875,5,1.541365
0.0,6,1.542965
-0.96875,5,1.544179
0.0,6,1.545621
0.0,6,1.547085
0.0,6,1.548678
0.0,6,1.550264
0.0,6,1.55167
-0.96875,5,1.552991
-0.96875,5,1.554258
-0.9375,4,1.555197
0.0,6,1.556545
0.0,6,1.557909
0.0,6,1.559423
0.0,6,1.56097
-0.96875,5,1.562392
-0.9375,4,1.563341
0.0,6,1.564924
-0.9375,4,1.565954
0.0,6,1.567403
0.0,6,1.568914
-0.96875,5,1.570204
-0.96875,5,1.571366
0.0,6,1.572795
0.0,6,1.574164
-0.96875,5,1.575373
-0.96875,5,1.576532
-0.96875,5,1.577636
-0.96875,5,1.578741
0.0,6,1.580184
0.0,6,1.581531
-0.96875,5,1.582628
0.0,6,1.584112
-0.96875,5,1.58529
-0.96875,5,1.586388
0.0,6,1.587747
-0.9375,4,1.588639
0.0,6,1.590138
-0.96875,5,1.59129
0.0,6,1.592595
0.0,6,1.593948
0.0,6,1.595331
0.0,6,1.596825
-0.96875,5,1.597931
-0.96875,5,1.599031
0.0,6,1.600694
-0.9375,4,1.601602
0.0,6,1.602952
0.0,6,1.604297
0.0,6,1.605666
-0.96875,5,1.606801
-0.96875,5,1.608136
-0.96875,5,1.609491
-0.96875,5,1.611185
0.0,6,1.612596
0.0,6,1.613909
0.0,6,1.615273
0.0,6,1.616792
-0.96875,5,1.617927
-0.9375,4,1.61888
0.0,6,1.620303
-0.96875,5,1.621507
0.0,6,1.623025
-0.96875,5,1.62424
0.0,6,1.625834
0.0,6,1.62753
0.0,6,1.628868
0.0,6,1.630233
-0.9375,4,1.631213
-0.96875,5,1.632404
-0.96875,5,1.633787
-0.96875,5,1.634999
-0.96875,5,1.636287
-0.96875,5,1.637591
-0.96875,5,1.638712
-0.9375,4,1.639608
-0.96875,5,1.640924
0.0,6,1.642575
-0.96875,5,1.644092
0.0,6,1.645566
0.0,6,1.646891
-0.96875,5,1.648375
0.0,6,1.650085
-0.96875,5,1.651207
0.0,6,1.652612
-0.96875,5,1.654106
-0.96875,5,1.655219
0.0,6,1.656581
-0.9375,4,1.657969
-0.96875,5,1.659423
0.0,6,1.661291
0.0,6,1.662666
-0.96875,5,1.663832
-0.9375,4,1.66486
0.0,6,1.666276
0.0,6,1.667723
-0.9375,4,1.668681
-0.96875,5,1.670043
0.0,6,1.671425
0.0,6,1.672841
